Data,Saida_Estimada,Saida,Erro
2020-03-17,5,5,0
2020-03-18,5,9,4
2020-03-19,9,20,11
2020-03-20,20,55,35
2020-03-21,56,68,12
2020-03-22,69,112,43
2020-03-23,114,163,49
2020-03-24,166,182,16
2020-03-25,186,200,14
2020-03-26,204,235,31
2020-03-27,240,282,42
2020-03-28,288,314,26
2020-03-29,321,348,27
2020-03-30,356,372,16
2020-03-31,380,390,10
2020-04-01,399,444,45
2020-04-02,454,550,96
2020-04-03,562,627,65
2020-04-04,641,730,89
2020-04-05,747,823,76
2020-04-06,842,1013,171
2020-04-07,1036,1051,15
2020-04-08,1075,1291,216
2020-04-09,1321,1425,104
2020-04-10,1458,1478,20
2020-04-11,1512,1582,70
2020-04-12,1619,1676,57
2020-04-13,1715,1800,85
2020-04-14,1842,2005,163
2020-04-15,2051,2157,106
2020-04-16,2207,2386,179
2020-04-17,2441,2684,243
2020-04-18,2746,3034,288
2020-04-19,3105,3252,147
2020-04-20,3328,3482,154
2020-04-21,3563,3716,153
2020-04-22,3803,3910,107
2020-04-23,4001,4598,597
2020-04-24,4705,4800,95
2020-04-25,4912,5421,509
2020-04-26,5547,5833,286
2020-04-27,5969,6726,757
2020-04-28,6883,6918,35
2020-04-29,7079,7267,188
2020-04-30,7437,7606,169
2020-05-01,7784,7879,95
2020-05-02,8063,8231,168
2020-05-03,8423,8370,-53
2020-05-04,8565,11040,2475
2020-05-05,11298,11470,172
2020-05-06,11738,12304,566
2020-05-07,12592,13888,1296
2020-05-08,14213,14956,743
2020-05-09,15306,15879,573
2020-05-10,16250,16692,442
2020-05-11,17082,17599,517
2020-05-12,18011,18412,401
2020-05-13,18843,19156,313
2020-05-14,19604,21077,1473
2020-05-15,21570,22490,920
2020-05-16,23016,23795,779
2020-05-17,24352,24255,-97
2020-05-18,24822,26363,1541
2020-05-19,26980,28112,1132
2020-05-20,28770,30560,1790
2020-05-21,31275,31413,138
2020-05-22,32148,34573,2425
2020-05-23,35382,35122,-260
2020-05-24,35944,35595,-349
2020-05-25,36428,36185,-243
2020-05-26,37032,37021,-11
2020-05-27,37887,37275,-612
2020-05-28,38147,37821,-326
2020-05-29,39419.6,38395,-1024.58
