Data,Saida_Estimada,Saida,Erro
2020-03-13,2,2,0
2020-03-14,2,4,2
2020-03-15,4,6,2
2020-03-16,6,7,1
2020-03-17,7,7,0
2020-03-18,7,10,3
2020-03-19,10,20,10
2020-03-20,20,21,1
2020-03-21,21,51,30
2020-03-22,53,57,4
2020-03-23,59,68,9
2020-03-24,71,107,36
2020-03-25,111,109,-2
2020-03-26,113,122,9
2020-03-27,127,149,22
2020-03-28,155,184,29
2020-03-29,192,194,2
2020-03-30,202,197,-5
2020-03-31,205,219,14
2020-04-01,228,235,7
2020-04-02,245,247,2
2020-04-03,258,281,23
2020-04-04,293,334,41
2020-04-05,349,357,8
2020-04-06,373,379,6
2020-04-07,396,417,21
2020-04-08,435,457,22
2020-04-09,477,501,24
2020-04-10,523,693,170
2020-04-11,724,732,8
2020-04-12,765,768,3
2020-04-13,802,777,-25
2020-04-14,812,826,14
2020-04-15,863,853,-10
2020-04-16,891,884,-7
2020-04-17,923,926,3
2020-04-18,967,962,-5
2020-04-19,1005,975,-30
2020-04-20,1018,1025,7
2020-04-21,1071,1063,-8
2020-04-22,1110,1091,-19
2020-04-23,1140,1115,-25
2020-04-24,1165,1170,5
2020-04-25,1222,1209,-13
2020-04-26,1263,1235,-28
2020-04-27,1290,1337,47
2020-04-28,1397,1476,79
2020-04-29,1542,1995,453
2020-04-30,2085,2085,+
2020-05-01,2179,2104,-75
2020-05-02,2198,2346,148
2020-05-03,2451,2346,-105
2020-05-04,2451,2519,68
2020-05-05,2632,2623,-9
2020-05-06,2741,2917,176
2020-05-07,3048,3082,34
2020-05-08,3221,3205,-16
2020-05-09,3349,3372,23
2020-05-10,3524,3429,-95
2020-05-11,3583,3529,-54
2020-05-12,3688,3733,45
2020-05-13,3901,3828,-73
2020-05-14,4000,4332,332
2020-05-15,4527,4562,35
2020-05-16,4767,4678,-89
2020-05-17,4889,4776,-113
2020-05-18,4991,5175,184
2020-05-19,5408,5413,5
2020-05-20,5657,5499,-158
2020-05-21,5747,5610,-137
2020-05-22,5863,6458,595
2020-05-23,6749,6607,-142
2020-05-24,6905,6696,-209
2020-05-25,6998,6875,-123
2020-05-26,7185,7016,-169
2020-05-27,7332,7372,40
2020-05-28,7704,8000,296
2020-05-29,8063.24,8530,466.756
